time:0.705737829208,checkpoint:0,restore:0.000324010848999
time:0.643518924713,checkpoint:0,restore:0.0335199832916
time:0.664371013641,checkpoint:0,restore:0.000354051589966
time:0.721839904785,checkpoint:0,restore:0.000241994857788
time:0.704083919525,checkpoint:0,restore:0.000460863113403
time:0.704025030136,checkpoint:0,restore:0.000270128250122
time:0.710197925568,checkpoint:0,restore:0.00029993057251
time:0.714365959167,checkpoint:0,restore:0.000374794006348
time:0.687473058701,checkpoint:0,restore:0.000328063964844
time:0.680420160294,checkpoint:0,restore:0.000329971313477
time:0.678843975067,checkpoint:0,restore:0.000319957733154
time:0.674852132797,checkpoint:0,restore:0.000405073165894
time:0.740900993347,checkpoint:0,restore:0.000344038009644
time:0.685627937317,checkpoint:0,restore:0.000394105911255
time:0.701575994492,checkpoint:0,restore:0.000277996063232
time:0.663079023361,checkpoint:0,restore:0.00034499168396
time:0.686785936356,checkpoint:0,restore:0.000272035598755
time:0.696119070053,checkpoint:0,restore:0.000475883483887
time:0.674966096878,checkpoint:0,restore:0.00032901763916
time:0.705523967743,checkpoint:0,restore:0.000560998916626
time:0.709224939346,checkpoint:0,restore:0.000466108322144
time:0.722469091415,checkpoint:0,restore:0.000334978103638
time:0.72175693512,checkpoint:0,restore:0.000336885452271
time:0.69393992424,checkpoint:0,restore:0.000296831130981
time:0.679635047913,checkpoint:0,restore:0.000310897827148
time:0.692509889603,checkpoint:0,restore:0.000328779220581
time:0.694772005081,checkpoint:0,restore:0.000318050384521
time:0.693500041962,checkpoint:0,restore:0.000294923782349
time:0.695956945419,checkpoint:0,restore:0.00036096572876
time:0.707665920258,checkpoint:0,restore:0.000296831130981
time:0.622913122177,checkpoint:0,restore:0.000331163406372
time:0.620404005051,checkpoint:0,restore:0.000247955322266
time:0.700721025467,checkpoint:0,restore:0.000273942947388
time:0.704736948013,checkpoint:0,restore:0.000279903411865
time:0.6536860466,checkpoint:0,restore:0.000306844711304
time:0.647217988968,checkpoint:0,restore:0.000318050384521
time:0.682732105255,checkpoint:0,restore:0.000366926193237
time:0.687642097473,checkpoint:0,restore:0.000343084335327
time:0.70664191246,checkpoint:0,restore:0.00036883354187
time:0.707860946655,checkpoint:0,restore:0.000459909439087
time:0.678709983826,checkpoint:0,restore:0.000302076339722
time:0.664794206619,checkpoint:0,restore:0.000292062759399
time:0.687617063522,checkpoint:0,restore:0.000338792800903
time:0.741417169571,checkpoint:0,restore:0.000518083572388
time:0.688702821732,checkpoint:0,restore:0.000308990478516
time:0.630375862122,checkpoint:0,restore:0.000367164611816
time:0.735419034958,checkpoint:0,restore:0.000257968902588
time:0.7024538517,checkpoint:0,restore:0.000328063964844
time:0.69042301178,checkpoint:0,restore:0.000335931777954
time:0.684569120407,checkpoint:0,restore:0.000325918197632
time:0.676431179047,checkpoint:0,restore:0.000226020812988
time:0.692244052887,checkpoint:0,restore:0.000362873077393
time:0.690867185593,checkpoint:0,restore:0.000363111495972
time:0.695593118668,checkpoint:0,restore:0.000365972518921
time:0.66662311554,checkpoint:0,restore:0.000345945358276
time:0.660254001617,checkpoint:0,restore:0.000359058380127
time:0.701007127762,checkpoint:0,restore:0.000383138656616
time:0.710377216339,checkpoint:0,restore:0.000319004058838
time:0.685377120972,checkpoint:0,restore:0.000310897827148
time:0.69588303566,checkpoint:0,restore:0.000384092330933
time:0.678857803345,checkpoint:0,restore:0.000319004058838
time:0.700358867645,checkpoint:0,restore:0.000280141830444
time:0.672357082367,checkpoint:0,restore:0.000334978103638
time:0.675070047379,checkpoint:0,restore:0.000355005264282
time:0.695334196091,checkpoint:0,restore:0.000622034072876
time:0.708218097687,checkpoint:0,restore:0.000301122665405
time:0.697080850601,checkpoint:0,restore:0.000307083129883
time:0.662828922272,checkpoint:0,restore:0.000356912612915
time:0.679608106613,checkpoint:0,restore:0.000344038009644
time:0.688003063202,checkpoint:0,restore:0.00038480758667
time:0.611800193787,checkpoint:0,restore:0.00025200843811
time:0.69292807579,checkpoint:0,restore:0.000244140625
time:0.696602106094,checkpoint:0,restore:0.00058913230896
time:0.670268058777,checkpoint:0,restore:0.000289916992188
time:0.692270040512,checkpoint:0,restore:0.000331878662109
time:0.679558038712,checkpoint:0,restore:0.000309944152832
time:0.692456960678,checkpoint:0,restore:0.000663042068481
time:0.712661981583,checkpoint:0,restore:0.000324010848999
time:0.664093017578,checkpoint:0,restore:0.000288963317871
time:0.683389902115,checkpoint:0,restore:0.000375032424927
time:0.669168949127,checkpoint:0,restore:0.000316143035889
time:0.672178030014,checkpoint:0,restore:0.000305891036987
time:0.690809965134,checkpoint:0,restore:0.000327110290527
time:0.683403015137,checkpoint:0,restore:0.000320911407471
time:0.698554039001,checkpoint:0,restore:0.000314950942993
time:0.675297021866,checkpoint:0,restore:0.00036096572876
time:0.606213092804,checkpoint:0,restore:0.000241994857788
time:0.726258039474,checkpoint:0,restore:0.000341176986694
time:0.696659803391,checkpoint:0,restore:0.000313997268677
time:0.668265104294,checkpoint:0,restore:0.000378847122192
time:0.628335952759,checkpoint:0,restore:0.000361919403076
time:0.611440896988,checkpoint:0,restore:0.000313997268677
time:0.6914498806,checkpoint:0,restore:0.000308036804199
time:0.652198076248,checkpoint:0,restore:0.000350952148438
time:0.616381168365,checkpoint:0,restore:0.000313997268677
time:0.670807123184,checkpoint:0,restore:0.000337839126587
time:0.713922977448,checkpoint:0,restore:0.000365972518921
time:0.695235013962,checkpoint:0,restore:0.000355958938599
time:0.697541952133,checkpoint:0,restore:0.000268936157227
time:0.691999912262,checkpoint:0,restore:0.000292062759399
time:0.667872905731,checkpoint:0,restore:0.000327825546265
time:0.710268974304,checkpoint:0,restore:0.000327110290527
time:0.673140048981,checkpoint:0,restore:0.000607967376709
time:0.688098907471,checkpoint:0,restore:0.000304222106934
time:0.688807010651,checkpoint:0,restore:0.000241994857788
time:0.637951850891,checkpoint:0,restore:0.000333786010742
time:0.641564130783,checkpoint:0,restore:0.000262975692749
time:0.687372922897,checkpoint:0,restore:0.000277042388916
time:0.699697971344,checkpoint:0,restore:0.000346183776855
time:0.668733119965,checkpoint:0,restore:0.000288963317871
time:0.733500003815,checkpoint:0,restore:0.00037693977356
time:0.722806930542,checkpoint:0,restore:0.000320196151733
time:0.701086997986,checkpoint:0,restore:0.000247001647949
time:0.71617102623,checkpoint:0,restore:0.000302076339722
time:0.698595046997,checkpoint:0,restore:0.000348091125488
time:0.694794178009,checkpoint:0,restore:0.000369071960449
time:0.659260034561,checkpoint:0,restore:0.000333070755005
time:0.681065797806,checkpoint:0,restore:0.000271081924438
time:0.685435056686,checkpoint:0,restore:0.00037407875061
time:0.665662050247,checkpoint:0,restore:0.000299215316772
time:0.616015195847,checkpoint:0,restore:0.000298023223877
time:0.644772052765,checkpoint:0,restore:0.000245809555054
time:0.739243030548,checkpoint:0,restore:0.000310897827148
time:0.699218988419,checkpoint:0,restore:0.000321865081787
time:0.680917024612,checkpoint:0,restore:0.00041389465332
time:0.700194120407,checkpoint:0,restore:0.000300884246826
